LIBELLE_CANONIQUE,VARIANTE
ROUTE DEPARTEMENTALE,ROUTE DEPARTEMENTALE
ROUTE DEPARTEMENTALE,RD
ROUTE DEPARTEMENTALE,D ROUTE DEPARTEMENTALE
ROUTE FORESTIERE,ROUTE FORESTIERE
ROUTE NATIONALE,ROUTE NATIONALE
ROUTE NATIONALE,RN
ROUTE NATIONALE,N ROUTE NATIONALE
RUE,RUE
RUELLE,RLE
RUELLE,RUELLE
RUELLETTE,RUELLETTE
RUELLETTE,RULT
RUETTE,RUETTE
RUISSEAU,RUISSEAU
SAS,SAS
SENTE,SENTE
SENTIER,SEN
SENTIER,SENTIER
SQUARE,SQUARE
SQUARE,SQ
STADE,STDE
STADE,STADE
STATION,STATION
TERRAIN,TRN
TERRAIN,TERRAIN
TERRASSE,TSSE
TERRASSE,TERRASSE
TERRE,TERRE
TERRE PLEIN,TPL
TERRE PLEIN,TERRE PLEIN
TERTRE,TRT
TERTRE,TERTRE
TOUR,TOUR
TRABOULE,TRABOULE
TRABOULE,TRAB
TRAVERSE,TRA
TRAVERSE,TRAVERSE
TRAVERSEE,TRAVERSEE
TUNNEL,TUNNEL
TUNNEL,TUN
VAL,VAL
VALLEE,VALLEE
VALLEE,VALL
VALLON,VALLON
VENELLE,VEN
VENELLE,VENELLE
VIA,VIA
VIADUC,VIAD
VIADUC,VIADUC
VIEILLE ROUTE,VTE
VIEILLE ROUTE,VIEILLE ROUTE
VIEILLE RUE,VR
VIEILLE RUE,VIEILLE RUE
VIEUX CHEMIN,VCHE
VIEUX CHEMIN,VX CHEM
VIEUX CHEMIN,VIEUX CHEMIN
VILLA,VLA
VILLA,VILLA
VILLAGE,VILLAGE
VILLAGE,VGE
VILLAGE,VLG
VILLAGE,VLGE
VILLE,VILLE
VOIE,VOI
VOIE,VOIE
VOIE COMMUNALE,VOIE COMMUNALE
VOIE COMMUNALE,VC
VOIRIE,VOIRIE
VOUTE,VOUTE
VOYEUL,VOYEUL
ZONE,ZONE
ZONE A URBANISER EN PRIORITE,ZONE A URBANISER EN PRIORITE
ZONE A URBANISER EN PRIORITE,ZUP
ZONE ARTISANALE,ZAR
ZONE ARTISANALE,ZONE ARTISANALE
ZONE D ACTIVITES,ZA
ZONE D ACTIVITES,ZONE D ACTIVITES
ZONE D ACTIVITES ECONOMIQUES,ZAE
ZONE D ACTIVITES ECONOMIQUES,ZONE D ACTIVITES ECONOMIQUES
ZONE D AMENAGEMENT CONCERTE,ZAC
ZONE D AMENAGEMENT CONCERTE,ZONE D AMENAGEMENT CONCERTE
ZONE D AMENAGEMENT DIFFERE,ZAD
ZONE D AMENAGEMENT DIFFERE,ZONE D AMENAGEMENT DIFFERE
ZONE INDUSTRIELLE,ZONE INDUSTRIELLE
ZONE INDUSTRIELLE,ZI
